build_id,apfd,n_tc
UTT34.104,1.0,1
UTZ34.31,0.29999999999999993,5
UUB34.22,0.9285714285714286,7
UUB34.24,0.5900000000000001,50
UUB34.27,0.7830188679245284,53
UUB34.30,0.9545454545454545,11
UUB34.31,0.4583333333333333,12
UUB34.4,0.875,4
UUC34.37,0.7083333333333334,24
UUC34.59,0.22222222222222218,9
UUC34.7,0.8333333333333334,3
UUFN34.11,0.5416666666666666,36
UUFN34.170,0.375,4
UUFN34.192,0.6111111111111112,9
UUFN34.24,0.3571428571428571,7
UUFN34.25,0.1875,8
UUFN34.26,0.5666666666666667,15
UUFN34.27,0.9375,8
UUG34.20,1.0,1
UUG34.23,0.19230769230769232,13
UUG34.27,0.7727272727272727,11
UUI34.31,0.9285714285714286,7
UUI34.32,0.49999999999999994,6
UUI34.37,0.75,2
UUM34.23,0.9722222222222222,18
UUM34.28,0.9,5
UUU34.15,0.49999999999999994,6
UUU34.21,1.0,1
UUU34.25,1.0,1
UUV34.54,0.5249999999999999,12
UUV34.57,0.17500000000000002,20
UUV34.58,0.4629629629629629,27
UUV34.59,0.75,36
UUV34.63,0.38,25
UUV34.66,0.9500000000000001,10
UUX34.47,0.9878048780487805,41
UUX34.48,0.9473684210526315,19
UUX34.51,0.9090909090909091,11
UUX34.52,0.8333333333333333,12
