method_name,project,build_id,test_scenario,count_tc,count_commits,apfd,time
RETECS,CloudifySource@cloudify,6512512,rtptorrent,38,0,0.9078947368421053,0.0
RETECS,CloudifySource@cloudify,7011587,rtptorrent,35,0,0.9571428571428571,0.0
RETECS,CloudifySource@cloudify,8687570,rtptorrent,37,0,0.9054054054054054,0.0
RETECS,CloudifySource@cloudify,9971917,rtptorrent,58,0,0.8879310344827586,0.0
RETECS,CloudifySource@cloudify,7115484,rtptorrent,42,0,0.9166666666666666,0.0
RETECS,CloudifySource@cloudify,6788175,rtptorrent,41,0,0.8658536585365854,0.0
RETECS,CloudifySource@cloudify,9747459,rtptorrent,57,0,0.7280701754385965,0.0
RETECS,CloudifySource@cloudify,6753296,rtptorrent,38,0,0.9342105263157895,0.0
RETECS,CloudifySource@cloudify,6715933,rtptorrent,38,0,0.43421052631578944,0.0
RETECS,CloudifySource@cloudify,7017922,rtptorrent,46,0,0.923913043478261,0.0
RETECS,CloudifySource@cloudify,1755585,rtptorrent,14,0,0.6071428571428571,0.0
RETECS,CloudifySource@cloudify,7767518,rtptorrent,48,0,0.052083333333333294,0.0
RETECS,CloudifySource@cloudify,7557263,rtptorrent,48,0,0.4548611111111111,0.0
RETECS,CloudifySource@cloudify,6569693,rtptorrent,37,0,0.9594594594594594,0.0
RETECS,CloudifySource@cloudify,6536567,rtptorrent,38,0,0.8815789473684211,0.0
RETECS,CloudifySource@cloudify,5659006,rtptorrent,27,0,0.9814814814814815,0.0
RETECS,CloudifySource@cloudify,6706505,rtptorrent,38,0,0.9605263157894738,0.0
RETECS,CloudifySource@cloudify,3365528,rtptorrent,22,0,0.06818181818181815,0.0
RETECS,CloudifySource@cloudify,7014960,rtptorrent,35,0,0.9571428571428571,0.0
RETECS,CloudifySource@cloudify,8632341,rtptorrent,37,0,0.9054054054054054,0.0
RETECS,DSpace@DSpace,80989155,rtptorrent,58,0,0.4450738916256158,0.0
RETECS,DSpace@DSpace,77375337,rtptorrent,58,0,0.4509852216748768,0.0
RETECS,DSpace@DSpace,20774106,rtptorrent,53,0,0.19182389937106914,0.0
